epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.9614,1.09083,5.04794,0.99382,0.0037,0.83333,0.26132,0.19927,0.98465,4.21195,0.88352,0.00019,0.00019,0.00019
2,12.6375,1.20544,3.58754,1.09122,0.0071,0.83333,0.24787,0.19066,1.09305,4.08157,0.91601,0.000389614,0.000389614,0.000389614
3,17.6413,1.19795,3.0889,1.06207,0.00419,0.83333,0.26469,0.17877,1.39903,3.8562,0.99368,0.000588832,0.000588832,0.000588832
4,22.6334,1.11787,2.8317,1.06582,0.00306,0.83333,0.35787,0.28338,1.04755,3.57449,0.95245,0.000787654,0.000787654,0.000787654
5,27.9418,1.13843,2.49373,1.09457,0.67357,0.29831,0.40439,0.30776,1.15832,3.38263,1.08999,0.00098608,0.00098608,0.00098608
6,33.1411,1.17199,2.46519,1.09189,0.76,0.21005,0.47762,0.33718,1.33968,3.07512,1.10594,0.00099505,0.00099505,0.00099505
7,38.4335,1.1413,2.18853,1.07798,0.7431,0.73658,0.655,0.51352,1.14079,1.89997,1.05661,0.00099406,0.00099406,0.00099406
8,43.7005,1.15841,2.2221,1.11501,0.85679,0.80578,0.80417,0.67723,1.0813,1.39277,1.09939,0.00099307,0.00099307,0.00099307
9,49.0903,1.21316,2.23757,1.11931,0.86943,0.7415,0.75212,0.60052,1.15058,1.64582,1.09746,0.00099208,0.00099208,0.00099208
10,54.5714,1.10014,1.93341,1.05992,0.7776,0.64722,0.69129,0.53665,1.16959,1.69638,1.13482,0.00099109,0.00099109,0.00099109
11,60.3345,1.11483,1.90699,1.07093,0.88437,0.60403,0.80717,0.65188,1.09998,1.52338,1.05995,0.0009901,0.0009901,0.0009901
12,65.7995,1.14066,1.96708,1.09332,0.80327,0.60393,0.66387,0.49673,1.15539,1.4319,1.20301,0.00098911,0.00098911,0.00098911
13,71.2215,1.07245,1.69767,1.05115,0.76476,0.73258,0.81528,0.64873,1.1436,1.14972,1.07674,0.00098812,0.00098812,0.00098812
14,77.3114,1.07383,1.64881,1.03434,0.93719,0.83333,0.82917,0.68534,0.97699,0.92869,0.95904,0.00098713,0.00098713,0.00098713
15,82.7719,1.08613,1.68011,1.06086,0.87745,0.60085,0.61372,0.49396,0.99046,1.40118,1.08054,0.00098614,0.00098614,0.00098614
16,88.1512,1.08144,1.59966,1.04229,0.90079,0.8,0.78812,0.6516,0.92793,0.98968,0.99123,0.00098515,0.00098515,0.00098515
17,93.5315,1.02044,1.34819,1.00909,0.83009,0.79169,0.7731,0.6638,1.0137,1.12925,1.01805,0.00098416,0.00098416,0.00098416
18,99.1314,1.04719,1.39514,1.01149,0.91812,0.78171,0.81542,0.69166,1.03111,1.01672,1.004,0.00098317,0.00098317,0.00098317
19,104.504,1.04968,1.35535,1.02857,0.90412,0.60245,0.76397,0.61654,1.04201,1.29552,1.01442,0.00098218,0.00098218,0.00098218
20,109.831,1.02326,1.42559,1.00645,0.92739,0.83333,0.82974,0.69219,1.00869,0.86296,0.98017,0.00098119,0.00098119,0.00098119
21,115.081,1.05991,1.26839,1.01389,0.93885,0.83333,0.82917,0.69387,1.0254,0.91509,0.96526,0.0009802,0.0009802,0.0009802
22,120.371,1.06422,1.32886,1.03627,0.93592,0.82814,0.83163,0.66408,1.09554,0.95948,1.0201,0.00097921,0.00097921,0.00097921
23,125.821,1.07571,1.3031,1.04997,0.87063,0.82932,0.80272,0.64211,1.04589,0.96313,0.96666,0.00097822,0.00097822,0.00097822
24,131.142,1.06971,1.29071,1.03824,0.69945,0.73284,0.752,0.63786,0.97122,1.19123,0.95481,0.00097723,0.00097723,0.00097723
25,136.522,1.11778,1.28301,1.02352,0.69436,0.6448,0.65792,0.54123,1.04111,1.39636,0.99529,0.00097624,0.00097624,0.00097624
26,141.862,1.01654,1.12442,1.00562,0.95958,0.82304,0.82955,0.69654,0.97993,0.84669,0.98879,0.00097525,0.00097525,0.00097525
27,147.201,1.00521,1.14247,1.02058,0.84878,0.83018,0.82949,0.66479,1.09582,0.93201,0.9831,0.00097426,0.00097426,0.00097426
28,152.557,0.95639,1.12468,1.01419,0.86348,0.81647,0.82962,0.70814,0.99397,0.87795,0.98501,0.00097327,0.00097327,0.00097327
29,157.902,0.97394,1.12231,0.99569,0.95271,0.73598,0.76054,0.6498,0.9336,0.91786,0.94829,0.00097228,0.00097228,0.00097228
